account,closed_pnl,win_rate,pnl_norm,score
0x083384f897ee0f19899168e3b1bec365f52a9012,66676.242499125,0.35233288809198676,1.0000000000000002,0.8056998664275961
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,920.8715483461539,0.39713376753982704,0.09360352284405504,0.18466259625278664
0x271b280974205ca63b716753467d5a371de622ab,-5869.682609833333,0.3799521001942577,0.0,0.1139856300582773
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,817.6840404567902,0.4525088144750888,0.09218114787627589,0.20027944785591972
0x2c229d22b100a7beb69122eed721cee9b24011dd,2444.3189129565217,0.498708261557744,0.11460328764576194,0.22983477981935657
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-725.6651159534885,0.2662149612452762,0.0709070493780861,0.12949942293824313
0x39cef799f8b69da1995852eea189df24eb5cae3c,314.2808551304348,0.36468216478488236,0.08524205123411048,0.16907408529934204
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,1910.5802586785717,0.45689935064935067,0.10724603562262879,0.21214203013064534
0x420ab45e0bd8863569a5efbb9c05d91f40624641,9975.2796366,0.42995901639344264,0.2184128498276841,0.2818766997974117
0x430f09841d65beb3f27765503d0f850b8bce7713,14876.49544075,0.2026689708141321,0.2859730304551798,0.26098181256286546
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,717.6646955625,0.3639104417771443,0.09080244404495705,0.17273484336461323
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,11685.293976603449,0.426408492962711,0.24198432317281193,0.29731157410978165
0x4f93fead39b70a1824f981a54d4e55b278e9f760,962.5416502056074,0.30121366471109007,0.09417791901857302,0.15628864272632814
0x513b8629fe877bb581bf244e326a047b249c4ff1,21549.296287589743,0.3254950998749796,0.3779533978819886,0.36221590847988594
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2313.4301440851063,0.3411133250429654,0.11279906819891045,0.18129334525212693
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,22597.66136394737,0.20335120373383359,0.39240445181483274,0.335688477390533
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,5546.761692753847,0.21355719975901696,0.1573685122278139,0.1742251184871748
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2596.5438815821917,0.7105283610078542,0.11670161320156731,0.2948496375434534
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,573.0939633461538,0.43590574641442353,0.08880962732921165,0.19293846305477522
0x8170715b3b381dffb7062c0298972d4727a0a63b,-1821.9687476195652,0.32028170644220266,0.0557951925781416,0.1351411467373599
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1213.215887148148,0.1888747291211057,0.09763330588649217,0.12500573285687622
0x8477e447846c758f5a675856001ea72298fd9cb5,252.3966033103448,0.3051995431656707,0.08438901570210583,0.15063217394117528
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,7032.163451888889,0.20333037461996042,0.17784384226053573,0.18548980196836312
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,1660.982425875,0.2739107378656304,0.10380548630950479,0.15483706177634246
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,1968.8238992432432,0.4114921219752971,0.10804888761572412,0.199081857923596
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,4523.0413020666665,0.29853655922621436,0.14325716980369246,0.18984098663044902
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,1087.94158765,0.31476939651867186,0.0959064783726105,0.1615653538164289
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,8372.588272222656,0.2845184831155218,0.19632075627494183,0.22278007432711583
0xb899e522b5715391ae1d4f137653e7906c5e2115,642.5285948857144,0.4325793426390197,0.08976674010205554,0.19261052086314479
0xbaaaf6571ab7d571043ff1e313a9609a10637864,33577.27879357143,0.45562479214327567,0.5437515800392442,0.5173135436704536
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,3291.32928138806,0.22402073653037008,0.126278793432743,0.15560137636203114
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,6382.294298297709,0.41102928202983036,0.16888580426439564,0.24152884759402604
